time_beijing,timestamp_ms,equity_usdt,cash_usdt,long_units,short_units,total_units
2026-07-27T12:00:00+08:00,1785124800000,10000.0,10000.0,0,0,0
2026-07-27T12:30:00+08:00,1785126600000,10000.15577265584,9999.96,0,1,1
2026-07-27T13:00:00+08:00,1785128400000,9999.789015191198,9999.96,0,1,1
2026-07-27T13:30:00+08:00,1785130200000,9999.080493817333,9999.919999999998,0,2,2
2026-07-27T14:00:00+08:00,1785132000000,9998.766335984588,9999.434651650077,0,1,1
2026-07-27T14:30:00+08:00,1785133800000,9998.635436887611,9999.434651650077,0,1,1
2026-07-27T15:00:00+08:00,1785135600000,9999.080493817333,9999.434651650077,0,1,1
2026-07-27T15:30:00+08:00,1785137400000,9999.342292011286,9999.434651650077,0,1,1
2026-07-27T16:00:00+08:00,1785139200000,9999.654907104981,9999.394651650076,0,2,2
2026-07-27T16:30:00+08:00,1785141000000,10000.178400746345,9999.394651650076,0,2,2
2026-07-27T17:00:00+08:00,1785142800000,9999.81195519739,9999.394651650076,0,2,2
2026-07-27T17:30:00+08:00,1785144600000,9999.183762827754,9999.394651650076,0,2,2
2026-07-27T18:00:00+08:00,1785146400000,9998.94824719974,9999.27611219189,0,1,1
2026-07-27T18:30:00+08:00,1785148200000,9998.895908110258,9999.27611219189,0,1,1
2026-07-27T19:00:00+08:00,1785150000000,9999.157603557667,9999.27611219189,0,1,1
2026-07-27T19:30:00+08:00,1785151800000,9999.157603557667,9999.27611219189,0,1,1
2026-07-27T20:00:00+08:00,1785153600000,9999.757878255226,9999.23611219189,0,2,2
2026-07-27T20:30:00+08:00,1785155400000,9997.298423579432,9999.23611219189,0,2,2
2026-07-27T21:00:00+08:00,1785157200000,9998.187828769882,9998.201669491733,0,1,1
2026-07-27T21:30:00+08:00,1785159000000,9997.115298365801,9998.201669491733,0,1,1
2026-07-27T22:00:00+08:00,1785160800000,9997.14145764395,9997.14145764395,0,0,0
2026-07-27T22:30:00+08:00,1785162600000,9997.14145764395,9997.14145764395,0,0,0
2026-07-27T23:00:00+08:00,1785164400000,9997.14145764395,9997.14145764395,0,0,0
2026-07-27T23:30:00+08:00,1785166200000,9997.300517529753,9997.101457643948,0,1,1
2026-07-28T00:00:00+08:00,1785168000000,9996.184904729329,9997.101457643948,0,1,1
2026-07-28T00:30:00+08:00,1785169800000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T01:00:00+08:00,1785171600000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T01:30:00+08:00,1785173400000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T02:00:00+08:00,1785175200000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T02:30:00+08:00,1785177000000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T03:00:00+08:00,1785178800000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T03:30:00+08:00,1785180600000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T04:00:00+08:00,1785182400000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T04:30:00+08:00,1785184200000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T05:00:00+08:00,1785186000000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T05:30:00+08:00,1785187800000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T06:00:00+08:00,1785189600000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T06:30:00+08:00,1785191400000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T07:00:00+08:00,1785193200000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T07:30:00+08:00,1785195000000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T08:00:00+08:00,1785196800000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T08:30:00+08:00,1785198600000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T09:00:00+08:00,1785200400000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T09:30:00+08:00,1785202200000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T10:00:00+08:00,1785204000000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T10:30:00+08:00,1785205800000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T11:00:00+08:00,1785207600000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T11:30:00+08:00,1785209400000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T12:00:00+08:00,1785211200000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T12:30:00+08:00,1785213000000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T13:00:00+08:00,1785214800000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T13:30:00+08:00,1785216600000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T14:00:00+08:00,1785218400000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T14:30:00+08:00,1785220200000,9996.158342519795,9996.158342519795,0,0,0
2026-07-28T15:00:00+08:00,1785222000000,9996.078342519793,9996.118342519794,1,0,1
2026-07-28T15:30:00+08:00,1785223800000,9995.66964923733,9996.118342519794,1,0,1
2026-07-28T16:00:00+08:00,1785225600000,9995.67150695418,9996.078342519793,2,0,2
2026-07-28T16:30:00+08:00,1785227400000,9995.998818761225,9996.078342519793,2,0,2
2026-07-28T17:00:00+08:00,1785229200000,9996.380682536112,9996.078342519793,2,0,2
2026-07-28T17:30:00+08:00,1785231000000,9995.453299082817,9996.078342519793,2,0,2
2026-07-28T18:00:00+08:00,1785232800000,9995.316829867947,9995.520664362006,1,0,1
2026-07-28T18:30:00+08:00,1785234600000,9995.152995373886,9995.520664362006,1,0,1
2026-07-28T19:00:00+08:00,1785236400000,9994.934549381807,9995.520664362006,1,0,1
2026-07-28T19:30:00+08:00,1785238200000,9995.234912620916,9995.520664362006,1,0,1
2026-07-28T20:00:00+08:00,1785240000000,9995.344135616957,9995.520664362006,1,0,1
2026-07-28T20:30:00+08:00,1785241800000,9996.110837684459,9995.480664362005,2,0,2
2026-07-28T21:00:00+08:00,1785243600000,9993.980407256375,9995.480664362005,2,0,2
2026-07-28T21:30:00+08:00,1785245400000,9993.188107761907,9994.676103389726,1,0,1
2026-07-28T22:00:00+08:00,1785247200000,9993.843803895259,9994.676103389726,1,0,1
2026-07-28T22:30:00+08:00,1785249000000,9995.100554817516,9994.676103389726,1,0,1
2026-07-28T23:00:00+08:00,1785250800000,9997.450132628692,9994.676103389726,1,0,1
2026-07-28T23:30:00+08:00,1785252600000,9997.776938579369,9994.636103389725,2,0,2
2026-07-29T00:00:00+08:00,1785254400000,9997.12574864502,9994.636103389725,2,0,2
2026-07-29T00:30:00+08:00,1785256200000,9998.211065202267,9994.636103389725,2,0,2
2026-07-29T01:00:00+08:00,1785258000000,9995.11791301411,9994.636103389725,2,0,2
2026-07-29T01:30:00+08:00,1785259800000,9995.03670203061,9996.235343723103,1,0,1
2026-07-29T02:00:00+08:00,1785261600000,9995.063647186249,9996.235343723103,1,0,1
2026-07-29T02:30:00+08:00,1785263400000,9995.198372964445,9996.235343723103,1,0,1
2026-07-29T03:00:00+08:00,1785265200000,9995.602550299036,9996.235343723103,1,0,1
2026-07-29T03:30:00+08:00,1785267000000,9996.38395981258,9996.235343723103,1,0,1
2026-07-29T04:00:00+08:00,1785268800000,9995.818111544151,9996.235343723103,1,0,1
2026-07-29T04:30:00+08:00,1785270600000,9995.818111544151,9995.818111544151,0,0,0
