time_beijing,timestamp_ms,event_type,side,reason,units,quantity_sol,execution_price,fee_usdt,realized_net_pnl_usdt,long_units_after,short_units_after,total_units_after
2026-07-27T12:30:00+08:00,1785126600000,entry,short,dead_cross_open,1,2.6191723415400734,76.36,0.04,,0,1,1
2026-07-27T13:30:00+08:00,1785130200000,entry,short,green_histogram_expansion_add,1,2.6174584478471403,76.41,0.04,,0,2,2
2026-07-27T14:00:00+08:00,1785132000000,exit,short,green_histogram_shrinking,1,2.6191723415400734,76.53,0.04008905185961237,-0.5253483499214293,0,1,1
2026-07-27T16:00:00+08:00,1785139200000,entry,short,green_histogram_expansion_add,1,2.6164311878597593,76.44,0.04,,0,2,2
2026-07-27T18:00:00+08:00,1785146400000,exit,short,green_histogram_shrinking,1,2.6174584478471403,76.44,0.04001570475068708,-0.15853945818610427,0,1,1
2026-07-27T20:00:00+08:00,1785153600000,entry,short,green_histogram_expansion_add,1,2.6154047338825683,76.47,0.04,,0,2,2
2026-07-27T21:00:00+08:00,1785157200000,exit,short,green_histogram_shrinking,1,2.6164311878597593,76.82,0.040198848770277344,-1.0744427001569739,0,1,1
2026-07-27T22:00:00+08:00,1785160800000,exit,short,green_histogram_shrinking,1,2.6154047338825683,76.86,0.04020400156924284,-1.100211847783446,0,0,0
2026-07-27T23:30:00+08:00,1785166200000,entry,short,zero_axis_down_open,1,2.655689815429558,75.31,0.04,,0,1,1
2026-07-28T00:30:00+08:00,1785169800000,exit,short,green_histogram_shrinking,1,2.655689815429558,75.65,0.04018058690744922,-0.983115124153508,0,0,0
2026-07-28T15:00:00+08:00,1785222000000,entry,long,golden_cross_open,1,2.725166916473634,73.39,0.04,,1,0,1
2026-07-28T16:00:00+08:00,1785225600000,entry,long,red_histogram_expansion_add,1,2.7311211252219034,73.23,0.04,,2,0,2
2026-07-28T18:00:00+08:00,1785232800000,exit,long,red_histogram_shrinking,1,2.725166916473634,73.2,0.039896443657174006,-0.5976781577871584,1,0,1
2026-07-28T20:30:00+08:00,1785241800000,entry,long,red_histogram_expansion_add,1,2.7326137450471375,73.19,0.04,,2,0,2
2026-07-28T21:30:00+08:00,1785245400000,exit,long,red_histogram_shrinking,1,2.7311211252219034,72.95,0.03984705721698757,-0.8445609722791236,1,0,1
2026-07-28T23:30:00+08:00,1785252600000,entry,long,red_histogram_expansion_add,1,2.695054574855141,74.21,0.04,,2,0,2
2026-07-29T01:30:00+08:00,1785259800000,exit,long,red_histogram_shrinking,1,2.7326137450471375,73.79,0.04032791364940566,1.5592403333789,1,0,1
2026-07-29T04:30:00+08:00,1785270600000,exit,long,red_histogram_shrinking,1,2.695054574855141,74.07,0.03992453847190405,-0.45723217895162527,0,0,0
2026-07-29T07:30:00+08:00,1785281400000,entry,short,dead_cross_open,1,2.729630135116692,73.27,0.04,,0,1,1
2026-07-29T08:00:00+08:00,1785283200000,exit,short,green_histogram_shrinking,1,2.729630135116692,73.77,0.04027296301351167,-1.4450880305718576,0,0,0
2026-07-29T14:30:00+08:00,1785306600000,entry,long,golden_cross_open,1,2.704530087897228,73.95,0.04,,1,0,1
2026-07-29T15:30:00+08:00,1785310200000,entry,long,zero_axis_up_add,1,2.699055330634278,74.1,0.04,,2,0,2
2026-07-29T16:30:00+08:00,1785313800000,exit,long,red_histogram_shrinking,1,2.704530087897228,73.72,0.03987559161595673,-0.70191751183233,1,0,1
2026-07-29T18:00:00+08:00,1785319200000,entry,long,red_histogram_expansion_add,1,2.699419624780672,74.09,0.04,,2,0,2
2026-07-29T18:30:00+08:00,1785321000000,exit,long,red_histogram_shrinking,1,2.699055330634278,73.96,0.03992442645074224,-0.4577921727395427,1,0,1
2026-07-29T20:30:00+08:00,1785328200000,exit,long,dead_cross_flip_close_opposite,1,2.699419624780672,73.49,0.03967606964502632,-1.6993278445134523,0,0,0
2026-07-29T20:30:00+08:00,1785328200000,entry,short,dead_cross_flip_open_one_unit,1,2.7214587018641994,73.49,0.04,,0,1,1
2026-07-29T21:30:00+08:00,1785331800000,entry,short,zero_axis_down_add,1,2.7203482045701852,73.52,0.04,,0,2,2
2026-07-29T22:00:00+08:00,1785333600000,exit,short,green_histogram_shrinking,1,2.7214587018641994,73.68,0.04010341543067085,-0.5971805687849012,0,1,1
2026-07-29T23:00:00+08:00,1785337200000,entry,short,green_histogram_expansion_add,1,2.7311211252219034,73.23,0.04,,0,2,2
2026-07-30T00:30:00+08:00,1785342600000,exit,short,green_histogram_shrinking,1,2.7203482045701852,73.18,0.03981501632208924,0.8451033732317442,0,1,1
2026-07-30T02:30:00+08:00,1785349800000,exit,short,golden_cross_flip_close_opposite,1,2.7311211252219034,73.88,0.04035504574627884,-1.8555837771404928,0,0,0
2026-07-30T02:30:00+08:00,1785349800000,entry,long,golden_cross_flip_open_one_unit,1,2.707092582566324,73.88,0.04,,1,0,1
