timeframe,fast_period,slow_period,signal_period,take_profit_pct,histogram_expansion_bars,divergence_lookback,pivot_window,train_bars,test_bars,train_score,train_return_pct,train_max_drawdown_pct,train_sharpe,train_closed_lots,train_win_rate_pct,train_profit_factor,test_return_pct,test_max_drawdown_pct,test_sharpe,test_closed_lots,test_win_rate_pct,test_profit_factor,test_net_pnl_usdt,is_best_for_timeframe
15m,8,21,6,0.025,3,30,3,6010,2592,-1.114822221477237,-0.22915394028652372,0.8856682811907132,-1.0654778051703981,1276,37.30407523510972,0.954007063605762,-1.228171930816643,1.3017370033307027,-13.3807898493811,541,32.53234750462107,0.5607891078343124,-122.8171930816643,True
15m,8,21,6,0.02,3,30,3,6010,2592,-1.1221380008902901,-0.23060000268709702,0.8915379982031931,-1.1229560298946943,1271,37.45082612116444,0.9526967906394024,-1.1654467504293644,1.2170741266454423,-12.898821819022926,538,32.52788104089219,0.582788335931995,-116.54467504293643,False
15m,8,21,6,0.015,3,30,3,6010,2592,-1.2195245715911849,-0.34315277090969176,0.8763718006814932,-1.7797973048436726,1268,37.53943217665615,0.9293708682409152,-1.1694590330330175,1.1761248740866361,-13.31108625980727,535,32.33644859813084,0.5737220723354832,-116.94590330330175,False
15m,8,21,9,0.015,3,30,3,6010,2592,-1.614307569255728,-0.6317493431354887,0.9825582261202395,-3.1608111711986804,1161,38.24289405684754,0.8709695967326039,-0.7023846274303832,0.7937100385331839,-7.7989127236581846,467,35.76017130620985,0.7078787433188468,-70.23846274303833,False
15m,8,21,9,0.02,3,30,3,6010,2592,-1.6932591260821184,-0.6042788898193249,1.0889802362627936,-2.88828831717277,1160,37.75862068965517,0.8777646173748577,-0.5406298014971799,0.7514664991154766,-5.650263851595358,477,36.058700209643604,0.782122148409772,-54.06298014971799,False
15m,8,21,9,0.025,3,30,3,6010,2592,-1.7774646342907165,-0.6851933859405835,1.0922712483501331,-3.1309190743185265,1164,37.45704467353952,0.8641348836414747,-0.6654038656593911,0.8878751897117547,-6.826375077406857,478,35.98326359832636,0.7310991999752032,-66.54038656593912,False
15m,8,26,6,0.02,3,30,3,6010,2592,-1.8336684831012509,-0.5657069449211122,1.2679615381801388,-2.7700194037576376,1243,36.44408688656476,0.8876870964171398,-0.9271070631249859,1.105953595496374,-10.170979909955163,517,35.20309477756286,0.650030855643555,-92.71070631249859,False
15m,8,21,12,0.02,3,30,3,6010,2592,-1.834368452490565,-0.6918983987137107,1.1424700537768542,-3.4082651701968483,1053,37.79677113010446,0.8537954194328403,-0.8013419182405597,0.9655970182047202,-8.122540108780097,467,34.04710920770878,0.7032557451524871,-80.13419182405596,False
15m,8,30,6,0.02,3,30,3,6010,2592,-1.8661387543523371,-0.6192485271135411,1.246890227238796,-3.016441688664828,1222,37.07037643207856,0.8768575861980634,-0.6308967954641593,0.7822326848100939,-6.856947724969803,517,36.17021276595745,0.7529005533971554,-63.08967954641594,False
15m,8,21,12,0.015,3,30,3,6010,2592,-1.867111678474132,-0.7379322541907641,1.1291794242833677,-3.769400230370859,1051,37.96384395813511,0.8445135586422676,-0.9296937501240973,0.9970703279407517,-9.905127504329633,460,33.69565217391305,0.645738137395007,-92.96937501240973,False
15m,14,21,6,0.015,3,30,3,6010,2592,-1.8800473054901308,-0.7019508377384954,1.1780964677516352,-3.6708336773332926,1113,37.46630727762803,0.8540421188681631,-0.7992846101482792,0.886686446247229,-8.607697821761322,468,35.8974358974359,0.6853675139847153,-79.92846101482792,False
15m,8,26,6,0.025,3,30,3,6010,2592,-1.9163329142241676,-0.633258953197419,1.2830739610267485,-2.9173262789289196,1251,36.3709032773781,0.8772885380655989,-0.914277652889541,1.0754048763986988,-9.816990133887266,519,35.26011560693642,0.6548995627498555,-91.4277652889541,False
15m,8,30,6,0.025,3,30,3,6010,2592,-1.926509790654817,-0.6423930219365867,1.2841167687182304,-2.972000870008524,1229,37.0219690805533,0.8746510190678691,-0.7264619627796309,0.8866276816048337,-7.684882605560498,518,35.907335907335906,0.7162218035232172,-72.6461962779631,False
15m,12,21,6,0.015,3,30,3,6010,2592,-1.929958827954061,-0.7681046566846453,1.1618541712694157,-3.916647383272943,1167,36.93230505569837,0.8441412963277821,-0.7446928817051413,0.8488789554692008,-8.380386510176493,464,35.560344827586206,0.6840206955104244,-74.46928817051412,False
15m,8,26,6,0.015,3,30,3,6010,2592,-1.9324829175510079,-0.6930568685543221,1.2394260489966857,-3.585714941843017,1239,36.56174334140436,0.8614723366695075,-0.9393751071010774,1.0321005629404558,-10.55876489927173,514,35.019455252918284,0.6414702564228956,-93.93751071010774,False
15m,8,21,12,0.025,3,30,3,6010,2592,-1.9379252169266998,-0.7779376574342132,1.1599875594924867,-3.6739307471462936,1057,37.464522232734154,0.8379463434505565,-0.8327856949415945,1.0238216491928824,-8.158424076752272,467,33.61884368308351,0.6903771614551415,-83.27856949415946,False
15m,8,30,6,0.015,3,30,3,6010,2592,-1.991969646361334,-0.7329509147440876,1.2590187316172463,-3.7671400683175205,1217,37.140509449465895,0.8526835311859635,-0.708662385205971,0.7927201032316428,-7.954191655111633,513,35.86744639376218,0.720118212489127,-70.86623852059711,False
15m,12,21,6,0.02,3,30,3,6010,2592,-2.021954894220188,-0.7861915045607203,1.2357633896594677,-3.8062667604917064,1167,36.50385604113111,0.8432713973166139,-0.6224671485289218,0.8203099427362708,-6.6298961180155835,471,35.881104033970274,0.7423227097274193,-62.24671485289218,False
15m,10,21,9,0.015,3,30,3,6010,2592,-2.027737429711931,-0.7733879600030378,1.2543494697088933,-3.987030894811723,1070,37.570093457943926,0.8387757649075599,-0.7984050988231683,0.873209355838427,-8.510988440386214,456,35.74561403508772,0.6859804767595665,-79.84050988231684,False
15m,14,21,6,0.02,3,30,3,6010,2592,-2.029096240945927,-0.7922784974793102,1.236817743466617,-3.9225156409019126,1117,37.063563115487916,0.8389193763616886,-0.6861169332873942,0.8110145270275777,-7.029609001707494,471,35.881104033970274,0.7345360299521895,-68.61169332873942,False
15m,10,21,9,0.02,3,30,3,6010,2592,-2.040733399355704,-0.793009568913476,1.247723830442228,-3.918753156599894,1073,37.46505125815471,0.8355038871682146,-0.7035331264836169,0.8493136667100587,-7.187317891417518,461,36.00867678958785,0.7290873838322068,-70.35331264836168,False
15m,8,26,9,0.015,3,30,3,6010,2592,-2.0528670485659437,-0.8039765228932994,1.2488905256726444,-4.182590634579982,1104,37.04710144927536,0.834847408291401,-0.9258844539318488,1.007685077539958,-10.181989003801684,469,34.9680170575693,0.635034155501258,-92.58844539318488,False
15m,8,26,12,0.025,3,30,3,6008,2592,-2.06294755989269,-0.82220728576498,1.2407402741277096,-3.7610507429155935,1025,36.390243902439025,0.8276408382189143,-0.6025319457764453,0.8196360698263138,-6.016396005781111,449,35.634743875278396,0.7469757961571786,-60.253194577644535,False
15m,8,35,6,0.02,3,30,3,6005,2592,-2.0688511945065287,-0.751676196747121,1.3171749977594078,-3.6451896233909142,1191,36.10411418975651,0.8495582164606511,-0.6756114894139137,0.8595542154230507,-7.314066332530183,498,35.140562248995984,0.7367901782442514,-67.56114894139137,False
15m,8,26,12,0.02,3,30,3,6008,2592,-2.0769237635133138,-0.8256978083815193,1.2512259551317946,-4.093181480536718,1020,36.470588235294116,0.8248665799775495,-0.5316768990741366,0.7192267193314318,-5.477721230736924,447,36.68903803131991,0.7742561036291439,-53.16768990741366,False
15m,14,21,6,0.025,3,30,3,6010,2592,-2.0876980532042317,-0.7920557100802035,1.2956423431240283,-3.7478879035590036,1117,36.61593554162936,0.8403736729388256,-0.8493615728234181,0.985955289951426,-8.498829134147536,473,35.095137420718814,0.6725226769381832,-84.93615728234181,False
15m,10,21,9,0.025,3,30,3,6010,2592,-2.096612413778704,-0.8158120838249306,1.2808003299537734,-3.8521047264760333,1076,37.174721189591075,0.8335664235638949,-0.7456483094818941,0.9182086340488144,-7.365630037876425,462,35.714285714285715,0.711993237017371,-74.56483094818941,False
15m,8,35,6,0.015,3,30,3,6005,2592,-2.12150447557248,-0.8185940348599251,1.302910440712555,-4.190948025815341,1185,36.28691983122363,0.8337184417409773,-0.7378159349016642,0.8016924674332265,-8.403074304420233,495,35.15151515151515,0.705654465787131,-73.78159349016641,False
15m,10,21,6,0.02,3,30,3,6010,2592,-2.132743752926659,-0.7510738263983513,1.3816699265283077,-3.5788244598401917,1204,36.46179401993355,0.854529737773931,-0.7112466899675747,0.9879721295615302,-7.7193106687463775,498,35.34136546184739,0.7191572389188425,-71.12466899675746,False
15m,8,30,9,0.015,3,30,3,6007,2592,-2.1390016592964205,-0.8285202442014269,1.3104814150949935,-4.290196595918527,1101,36.69391462306994,0.8289118633776444,-0.5740311346840281,0.6587729502439006,-6.097901720631177,459,37.03703703703704,0.7653354662171803,-57.40311346840281,False
15m,12,21,6,0.025,3,30,3,6010,2592,-2.1521622962057703,-0.8852546860647998,1.2669076101409704,-4.116185670793146,1168,36.215753424657535,0.8267555251533188,-0.7673693198331785,0.9768489884157998,-8.006485959332455,473,35.517970401691336,0.6836419739818871,-76.73693198331785,False
15m,10,21,6,0.015,3,30,3,6010,2592,-2.1552804157834147,-0.818603936315012,1.3366764794684025,-4.109162726604342,1204,36.627906976744185,0.840377600783005,-0.7549622577223818,0.9048462454276592,-8.54463611931353,492,35.16260162601626,0.6940278761959646,-75.49622577223818,False
15m,10,21,6,0.025,3,30,3,6010,2592,-2.1553377061471375,-0.7973952670039216,1.357942439143216,-3.647329961685878,1209,36.22828784119106,0.8487661104156858,-0.7129536086197004,0.9617999049851725,-7.578509722387707,500,35.6,0.7184832452764472,-71.29536086197004,False
15m,12,30,6,0.025,3,30,3,6010,2592,-2.1665257070523483,-0.8088411726084269,1.3576845344439212,-3.8311762100326026,1096,36.13138686131387,0.8353733222281292,-0.6432466454380483,0.8238529105198584,-6.357674923645974,480,35.625,0.7473317995642053,-64.32466454380483,False
15m,8,26,12,0.015,3,30,3,6008,2592,-2.181963387220212,-0.9492546157755531,1.232708771444659,-4.897095065332996,1016,36.61417322834646,0.7995236266753283,-0.5709504631502387,0.7176752826032073,-6.175356542754747,443,36.794582392776526,0.7511393998266546,-57.095046315023865,False
